osmid,y,x,street_count,highway,geometry
287692358,51.5345577,-0.9054115,1,,POINT (-0.9054115 51.5345577)
287692368,51.5345215,-0.9042673,1,,POINT (-0.9042673 51.5345215)
287692369,51.5335689,-0.902952,3,,POINT (-0.902952 51.5335689)
287692372,51.5339909,-0.9032842,1,,POINT (-0.9032842 51.5339909)
287692374,51.5329586,-0.9046364,3,,POINT (-0.9046364 51.5329586)
287692378,51.5334981,-0.904515,1,,POINT (-0.904515 51.5334981)
287732414,51.5314907,-0.9198624,3,,POINT (-0.9198624 51.5314907)
287732416,51.5295872,-0.9226269,3,,POINT (-0.9226269 51.5295872)
287732417,51.5324088,-0.9161691,3,,POINT (-0.9161691 51.5324088)
287732418,51.5325218,-0.9164088,3,,POINT (-0.9164088 51.5325218)
287732419,51.5312595,-0.920799,3,,POINT (-0.920799 51.5312595)
287732422,51.5304812,-0.9216673,3,,POINT (-0.9216673 51.5304812)
287732425,51.5304004,-0.9203939,1,,POINT (-0.9203939 51.5304004)
287732427,51.5300973,-0.9220807,3,,POINT (-0.9220807 51.5300973)
287732429,51.5299679,-0.9217638,3,,POINT (-0.9217638 51.5299679)
287732433,51.5301975,-0.9212353,1,,POINT (-0.9212353 51.5301975)
287732434,51.5298236,-0.9218038,1,,POINT (-0.9218038 51.5298236)
287732435,51.5302466,-0.9243787,3,,POINT (-0.9243787 51.5302466)
287732436,51.5306594,-0.9239893,3,,POINT (-0.9239893 51.5306594)
287732441,51.5310825,-0.9243224,1,,POINT (-0.9243224 51.5310825)
287732448,51.5313751,-0.9207669,3,,POINT (-0.9207669000000001 51.5313751)
287732463,51.5310547,-0.9189446,1,,POINT (-0.9189446 51.5310547)
287736836,51.532612,-0.9167203,4,,POINT (-0.9167203 51.532612)
287736850,51.533914,-0.9155626,5,,POINT (-0.9155626 51.533914)
287736860,51.5334427,-0.915171,3,,POINT (-0.915171 51.5334427)
287736880,51.5331906,-0.915468,3,,POINT (-0.9154679999999999 51.5331906)
287736887,51.5330953,-0.9161207,1,,POINT (-0.9161207 51.5330953)
287736894,51.5334,-0.9153642,3,,POINT (-0.9153642 51.5334)
287736898,51.533587,-0.9155165,1,,POINT (-0.9155165 51.533587)
287739617,51.5331577,-0.9154334,1,,POINT (-0.9154334 51.5331577)
287739620,51.5332609,-0.913894,3,,POINT (-0.913894 51.5332609)
287739666,51.5337798,-0.9146932,3,,POINT (-0.9146932 51.5337798)
287739669,51.5335889,-0.9152844,3,,POINT (-0.9152844 51.5335889)
287739670,51.5338529,-0.9146954,1,,POINT (-0.9146954 51.5338529)
287830310,51.5319053,-0.9104455,1,,POINT (-0.9104455 51.5319053)
287830336,51.5316002,-0.9109358,3,,POINT (-0.9109358 51.5316002)
287830337,51.531769,-0.9107681,1,,POINT (-0.9107681 51.531769)
287830343,51.5325047,-0.9098012,3,,POINT (-0.9098012 51.5325047)
287945327,51.5336208,-0.9089331,4,,POINT (-0.9089331 51.5336208)
287945331,51.5342058,-0.9094246,3,,POINT (-0.9094246 51.5342058)
287945337,51.5323969,-0.9151221,3,,POINT (-0.9151221 51.5323969)
287945341,51.5332091,-0.9123305,1,,POINT (-0.9123305 51.5332091)
287950957,51.5343913,-0.9129924,3,,POINT (-0.9129924 51.5343913)
